CHRIS’ TRADE LIST					
New Additions marked in RED					

Artist	Nat.	Title of release	Format	Year	minutes
Deathcult	USA	Sodomy/Repulsive In My Ways” CD			
Deathnoise 	FRA	Demo 88			
Deathrash	USA	Faces Of Death” Demo 87			
Deathrow	GER	Riders Of Doom” LP			
Deathrow	GER	Raging Steel” LP			
Deathside EP trax	JAP				
Deathstrike	USA	Fucking Death” Demo 			
Debris Inc. 	USA	 CD			
Deceased	USA	Gut Wrench” 7”			
Deceased	USA	The 13 Frightened Souls” 12”			
Deceased	USA	The Blueprints For Madness” CD			
Deceptor	UK	"Start The Assault" Demo 2006			
Decomposed	UK	The Funeral Obsession” EP			
Decomposed	UK	Hope Finally Died” LP			
Decoryah	FIN	Cosmos Silence” Demo 93			
Deep Vein/Bloody Sign	FRA	Split Tape			
Defcon 	USA	Demo 86			
Defiance	USA	Product Of Society” LP			
Defiance	USA	Void Terra Firma” LP			
Defleshed 	SWE	Demo 92			
Defleshed	SWE	Obsculum Obscenum” 7”			
Defleshed	SWE	Abrah Kadavrah” Demo			
Defleshed	SWE	Ma Belle Scalpelle” MCD			
Deicide 	USA	 LP			
