CHRIS’ TRADE LIST					
New Additions marked in RED					

Artist	Nat.	Title of release	Format	Year	minutes
Therion	SWE	Symphony Masses Ho Megas Ho Drakon” Adv LP			
Therion	SWE	Beauty In Black” MCD			
Therion	SWE	Beyond Sanctorium” LP			
Thergothon	FIN	Streams From The Heavens” Adv CD			
The Third And The Mortal Demo 93	NOR				
Thornspawn	USA	"Empress From Realms Of Blashemy" MCD			
Thou Shalt Suffer	NOR	Open The Mysteries Of Your Creation” 7”			
Throne Of Ahaz Demo 92	SWE				
Throne Of Ahaz	SWE	Nifelheim” Adv LP			
Throneum	POL	"The Undeground Storms eternally" Demo 2000			
Thus Defiled	UK	Blasphemous Coven” Demo #1			
Tiamat	SWE	Clouds” LP			
Tiamat	SWE	Wild Honey” CD			
Tirant Sin	USA	Desecration Of The Graves” Demo 87			
Tirant Sin	USA	Mutant Supremacy” Demo 88			
Tomorrows Alcoholics 	UK	Demo 88			
Torment	USA	Take Every Life” Demo 88			
Tormentor (Kreator)	GER	Demo 84			
Tortoise Corpse Demo	UK				
Totalitar/Disclose	SWE	 split LP			
Totalitar	SWE	Ni Maste Bort” LP			
Totalitar	SWE	Sin Egen Motstandare” LP			
Totalitar	SWE	Multinationelle Murdare” EP			
Totenkopf	POL	Rotting Conscience” Demo 93			
Tourniquet	USA	Pathogenic Ocular Dissonance” Adv CD			
Toxic Holocaust	USA	Toxic Thrash Metal Comp tape			
Toxic Holocaust/Nocturnal	US/GER	Thrashbeast From Hell split tape			
Toxic Holocaust	USA	Evil Never Dies” LP			
Toxic Holocaust	USA	Hell On Earth” LP			
Tractor	USA	Unholy Satanic Blasphemy” Demo 93			
Transgressor	JAP	Morbid Brochus” 7”			
Transgressor	JAP	Ether For The Scapegoat” CD			
Treblinka	SWE	Crawling In Vomits” Demo			
Trench Hell	AUS	Alcoholic Disaster” 7” 2005			
Tribulation	SWE	Pyretic Convulsions” Demo 88			
Tribulation	SWE	"The Ascending Dead" Demo 2006			
Trouble	USA	Psalm 9” CD			
Trouble	USA	The Skull” LP			
Trouble	USA	Run To The Light” LP			
Trouble	USA	Trouble” CD			
Trouble	USA	Manic Frustration” CD			
Trouble	USA	One For The Road” MCD			
Trouble	USA	Plastic Green Head” CD			
Twin Obscenity	GER	Castle Walls” Demo 93			
Tyrannicide	USA	Hiding Under White” Demo 			
Ulver	NOR	Vargnatt” Demo 93			
Unanimated	SWE	Firestorm” Demo			
Unanimated	SWE	Forest Of The Dreaming Dead” LP			
Uncle Slam	USA	Say Uncle” LP			
Unearthed	UK	Born From The Weeping” Demo n93			
Ungod	GER	Magicus Tallis Damnatio” Reh/Demo 92			
Ungod	GER	Cicle Of The Seven Infernal Pacts” LP			
Unholy	FIN	Trip To Depressive Autumn” Demo 92			
Unholy	FIN	From The Shadows” LP			
Unholy	FIN	The Second Ring Of Power” LP			
United	JAP	Human Zoo” CD			
Unleashed	SWE	The Dark One” EP Adv tape			
Unleashed	SWE	Across The Open Sea” Adv LP			
Unleashed	SWE	Shadows In The Deep” LP			
Unseen Terror	UK	Human Error” LP			
Unseen Terror	UK	 Radio Session 88			
Utumno	SWE	The Light Of Day” 7”			
Utumno	SWE	Across The Horizon” CD			
V.A		Brazilian Assault” CD			
V.A		Dark Passages” CD			
V,A		Dutch Assault” CD			
V.A		Fuck You We’re From Denmark” CD			
V.A		Hell Comes To Your House” LP			
V.A		Japanese Assault” CD			
V/A		"Outbreak Of Evil" 7" (Bestial Mockery/Nocturnal etc)			
V/A		"Outbreak Of Evil Vol 3" 7" (Evil Angel/Nailgunner etc)			
V.A		Polar Grinder” LP			
V.A		Swedish Assault” CD			
V.A		Thrash Metal Attack” LP			
V.A		US Speedcore Attack” LP			
V/A		"Thrash Metal Blitzkrieg" 7" (Skull/Pyoveli etc)			
V/A		"Thrash Metal Blitzkrieg Vol 2" 7" (Witchtrap/Hangman etc)			
V/A		Victimizer/Eternal Pain/Betyrayed/Farscape - Split LP			
V/A		"Warfare Noises" LP (Chakal/Mutilator etc)			
Vader	POL	Morbid Reich” Demo			
Vader	POL	The Ultimate Incantation” LP			
Vader	POL	Sothis” MLP			
Varathron	GRE	Genesis Of Apocryphal Desire” Demo 92			
Varathron	GRE	His Majesty At The Swamp” LP			
Venom	UK	Welcome To Hell” LP			
Venom	UK	Black Metal” LP			
Venom	UK	At War With Satan” LP			
Venom	UK	Die Hard” 12”			
Venom	UK	Manitou” 12”			
Venom	UK	Possessed” LP			
Venom	UK	"Canadian Assault" MLP			
Venom	UK	Seven Gates Of Hell” 2LP			
Venom	UK	"Antechrist" 7"			
Verbal Assault	USA	The masses” Demo 85			
Verbal Assault	USA	Learn” EP			
Vermin	SWE	Life Is Pain” Demo			
Vermin	SWE	Scum Of The Earth” Demo 93			
Victimizer	DEN	Communist Crusher 7"			
Victimizer	DEN	Unholy Banners Of Victimizer” LP			
Violence	USA	Demo 86			
Violence	USA	Eternal Nightmare LP			
Violence	USA	Nothing To Gain” LP			
Violent Dirge	POL	Obliteration Of Soul” Demo			
Violent Dirge	POL	Elapse” Cass. LP			
Violent Force	GER	Dead City” Demo 86			
Violent Force	GER	"Malevolent Assault Of Tomorrow" LP			
Violent Force	GER	Unrelesed LP #2			
Viscera	UK	Contents Of The Viscera” Demo 92			
Visceral Evisceration	AUT	Savour The Seething Meat” Demo 93			
Visceral Evisceration	AUT	Incessant Desire For Palatable Flesh” CD			
Vital Remains	USA	The Black Mass” EP			
Vital Remains/Morta Skuld	USA	 split 7”			
Vital Remains	USA	Excruciating Pain” Demo			
Vital Remains	USA	Let Us Pray” LP			
Voivod	CAN	War & Pain” LP			
Voivod	CAN	RRROOOAAARRR” LP			
Voivod	CAN	Killing Technology” LP			
Voivod	CAN	Dimension Hatross” LP			
Voivod	CAN	Nothingface” LP			
Voivod	CAN	Angel Rat” CD			
Voivod	CAN	The Outer Limits” CD			
Voivod	CAN	Negatron” CD			
Voivod	CAN	Phobos” CD			
Voivod	CAN	Voivod” CD			
Voivod	CAN	Live - Azternos 06.11.87			
Vomitory	SWE	Moribund” 7”			
Vomiturition	FIN	Flesheater Musicians On Their Last Supper” 7”			
Von	USA	Satanic Blood” Demo			
Voor	USA	Evil Metal” Demo 85			
Vulcano	BRA	"Bloody Vengeance" LP			
Warbastard	UK	"Thrashing Bastard Hell" Demo 2005			
Warfare	UK	 Radio Session 88			
Wargasm	USA	Satan Stole My Lunch Money” Demo			
Wargasm	USA	Why Play Around?” LP			
Wargod	USA	Demo '85			
Wargod	USA	Demo #2 '86			
Warp Spasm	UK	Our Gloriuos Dead” Demo			
Wasteoid	USA	Total Pukeoid” LP			
Watchtower	USA	Instruments Of Random Murder” Demo 87			
Watchtower	USA	Control & resistance” LP			
Wehrmacht	USA	Beermacht” Demo			
Wehrmacht	USA	Reel To Reel” Demo			
Wehrmacht	USA	 Live Portland, OR, 86			
Wehrmacht	USA	Shark Attack” LP			
Wehrmacht	USA	Biermacht” LP			
Whiplash	USA	Power & Pain” LP			
Whiplash	USA	Ticket To Mayhem” LP			
Whiplash	USA	Insult To Injury” LP			
Wicked Angel	USA	Chaotic Intellect” Demo 86			
Winds Of The Black Mountains	USA	Hill Of The Horned Goat” Demo 93			
Wings Demo 92 	FIN				
Witchburner	GER	Blasphemous Assault” LP			
Witchburner	GER	Incarnation Of Evil” LP			
Witchburner	GER	German Thrashing War” MLP			
Witchburner	GER	"Final Detonation" LP			
Witchcraft	DEN	Uncertain Facts” Demo			
Witchtrap	COL	The First Necromancy Demo 97			
Wichtrap	COL	Sorceress Bitch” LP			
Wolfbrigade	SWE	A D-Beat Odyssey” MLP			
Wombbath	SWE	Severed Shapes” 7”			
Wombbath	SWE	Internal Caustic Torment” LP			
Xenolith Oger	JAP	"Deadly Since Worth Dying" Demo '87			
Xentrix	UK	Shattered Existence” LP			
Xentrix	UK	For Whose Advantage” LP			
Xysma	FIN	Above The Minds Of Morbidity” MLP			
Xysma	FIN	First Magical” LP			
Xyster	UK	In Cold Blood” Demo 88			
Zemial 	?	Demo 93			
Zoetrope 	USA	Demo 84			
Zoetrope	USA	A Life Of Crime” LP			
Zyklon B	CAN	Gorenography” Demo			

CHRIS’ TRADE LIST                   
                    
HC & GRIND ORIGINALS                    
Artist  Nat.    Title of release    Format  Year    minutes
324 JAP s/t 7"      
324 JAP Japanese Title  LP      
324 JAP Across The Black Wings  MCD     
666 Dead    UK  s/t 7"      
Aaritila    FIN Ja Kaikki Kuitenkin Paattyy Kuolemann!  LP      
Abraham Cross   JAP Peace Can't Combine LP      
Acursed SWE Livet As Den Langsta Vagen Till Helvetet    LP      
Adolph & The Piss Artists   USA This Is Your Law    7"      
Adrenalin O.D   USA Wacky Hi Jinks  LP      
Adrenalin O.D   USA Humungusfungusamongus   LP      
Adrenalin O.D   USA Cruising With Elvis In Bigfoots UFO MLP     
Adrenalin O.D   USA AOD Themes - Unreleased 1982 Demos  LP      
Agathocles  BEL Distrust & Abuse    7"      
Agnostic Front  USA United Blood    7"      
Agnostic Front  USA Victim In Pain  LP      
Agnostic Front  USA Cause For Alarm LP      
Agnostic Front  USA Librty And Justice For… LP      
Agoraphobic Nosebleed/Converge  USA split   LP      
Agoraphobic Nosebleed/Cattlepress   USA split   LP      
Agoraphobic Nosebleed   USA Altered States Of America   MCD     
Agoraphobic Nosebleed   USA Frozen Corpse Stuffed With Dope CD      
Ahumado Granujo/CAD CZE split   7"      
Ambulance   SWE s/t 7"      
Amdi Petersens Arme DEN s/t 7"      
Amdi Petersens Arme DEN Blod Ser Mere Virkelict Ud Pa Film  7"      
Andy Andersen's Tribe   USA/UK  s/t LP      
Annihilation Time   CAN Bad Reputation  7"      
Anthem 88   USA Define A Lifetime   MLP     
Antigama    POL Discomfort  LP      
Armatron    USA s/t 7"      
Arroganta Agitatorer    SWE s/t 7"      
Articles Of Faith   USA Discography 1981 - 1983 LP      
Artimus Pyle    USA s/t 7"      
Artimus Pyle/Diallo USA split   7"      
Artimus Pyle/Crow   USA/JAP split   7"      
Artimus Pyle    USA The Civil Dead  MLP     
Artimus Pyle    USA Fucked From Birth   LP      
Asschapel   USA Satanation  7"      
Assert/Swellbellys  UK  split   7"      
Asshole Parade/Palatka  USA split   LP      
Asterisk/Jenny Piccolo  SWE/USA split   10"     
Atavistic   UK  Equilibrium 7"      
Atavistic   UK  Life During Wartime 7"      
Atrocious Madness   USA Total Control   LP      
Attitude    USA The Good The Bad & The Obnoxious    MLP     
Attitude    USA Kein Schlaf Bis Deutschland MLP     
Attitude Adjustment USA American Paranoia   LP      
Audio Kollaps   GER Ultima Ratio    LP      
Aus Rotten  USA And Now Back To Our Programming LP      
Ausgebombt  USA Hellbomber  LP      
Avskum  SWE Punkista    LP      
Axiom   USA Apathy & Privilege  LP      
Bastard JAP Controlled In The Frame 7"      
Batallion Of Saints USA Fighting Boys   LP      
Behead The Prophet NLSL USA Making Craters Where Buildings Stood    7"      
Beyond Description  JAP More Power To Your Elbow    7"      
Beyond Possession   CAN Is Beyond Possession    LP      
BGK HOL A Dutch Feast…Discography   2LP     
Biafra & DOA    USA/CAN Last Scream Of The Missing Neighbors    LP      
Biafra & No Means No    USA/CAN The Sky Is Falling And I Want My Mommy  LP      
Biafra & Mojo Nixon USA Prairie Home Invasion   LP      
Birdflesh   SWE Night Of The Ultimate Mosh  CD      
Birdflesh/The Kill  SWE/AUS split   7"      
Birdflesh/Embalming Theatre SWE/SWI split   7"      
Black Army Jacket   USA Path Of Two Swords As One   7"      
Black Army Jacket   USA "222"   LP      
Black Flag  USA Jealous Again   12"     
Black Flag  USA Everything Went Black   2LP     
Black Flag  USA Damaged LP      
Black Flag  USA My War  LP      
Black Flag  USA Six Pack    7"      
Black Market Fetus  USA Murder Machines 7"      
Black Market Fetus  USA Midwest Meltdown    CD      
Bloody Phoenix  USA s/t 7"      
Bones Brigade/D.F.A FRA/CAN split   7"      
Born Dead   USA Our Darkest Fears…  LP      
Boxed In    UK  s/t #1  7"      
Boxed In    UK  s/t #2  7"      
Boxed In    UK  s/t LP      
Brain Death JAP Personal Affair 7"      
Brainoil    USA s/t MLP     
Brody's Militia/Crunky Kids USA split   7"      
Brodys Militia/Widespread Bloodshed USA/SWE split   LP      
Brujeria    MEX Machetazos! 7"      
Brujeria    MEX El Patron   7"      
Burned Up Bled Dry  USA Cloned Slaves   7"      
Burnt By The Sun    USA Relapse Records 7"      
By The Throat   USA s/t 7"      
Capitalist Casualties/Stack USA/GER split   7"      
Capitalist Casualties   USA Subdivisions In Ruin    CD      
Career Suicide  CAN s/t LP      
Carol   GER Prefabricated   7"      
Catheter    USA s/t (on Headfucker Recs)    7"      
Catheter/Black Market Fetus USA split   7"      
Catheter/Forced Instinct    USA split   7"      
Catheter/Fiendead   USA split   7"      
Catheter/Bent Over Backwards    USA split   7"      
Catheter/Unholy Grave   USA/JAP split   7"      
Catheter/Entrails Massacre  USA/GER split   7"      
Catheter/Laughing Dog   USA split   LP      
Catheter    USA Preamble To Oblivion    LP      
Catheter/FUBAR  USA/HOL split   CD      
Catheter    USA Dimension 303   LP      
Cattle Decapitation USA Human Jerky LP      
Cattle Decapitation USA Homovore    LP      
Cattlepress USA Hordes To Abolish The Divine    LP      
Caustic Christ  USA s/t 7"      
Caustic Christ  USA Can't Relate    LP      
Caustic Christ/R.A.M.B.O    USA split   7"      
Charles Bronson USA Youth Attack    10"     
Charm   JAP Hito    7"      
Circle Jerks    USA Group Sex   LP      
Circle Of Dead Children USA Human Harvest   LP      
Code 13 USA They Made A Wasteland And Called It Peace   7"      
Complain    JAP Make A Mistake  7"      
Conflict    UK  It's Time To See Who's Who  LP      
Conflict    UK  Increase The Pressure   LP      
Conflict    UK  The Ungovernable Force  LP      
Conflict    UK  This Is Not Enough, Stand Up And Fucking Fight  7"      
Conflict    UK  To A Nation Of Animal Lovers    7"      
Confuse JAP Untitled Comp of EP/Comp trax   LP      
Confuse JAP Old God Meet New God    LP      
Conga Fury  JAP Chaotic Noise   CD      
Conga Fury  JAP Dear Friends    LP      
Constricted JAP s/t 7"      
Contrast Attitude/Acrostix  JAP split   LP      
Corrupted/Noothgrush    JAP/USA split   LP      
Crass   UK  Feeding Of The 5000 LP      
Cretin  USA Cretinous Grind Ambush  7"      
Cripple Bastards    ITA Misantropo A Senso Unico    LP      
Cripple Bastards    ITA Desperately Insensitive LP      
Crispus Attucks USA Yo Peho!    7"      
Crossed Out USA Discography     LP      
Cruel Face/Subcut   BRA split   10"     
Curtainrail/John Browns Army    JAP/USA split   7"      
Crucial Unit    USA These Colors Get The Runs   LP      
Crumbsuckers    USA Life Of Dreams  LP      
Crumbsuckers    USA Beast On My Back    LP      
Curtainrail     JAP To Be With You  LP      
Cut The Shit    USA Bored To Death  7"      
Cut The Shit    USA 1 sided     7"      
Cut The Shit    USA Harmed & Dangerous  LP      
Cut The Shit    USA Marked For Life 10"         
Cyness  GER Loony Planet/Industreality  CD      
Damad   USA Burning Cold    CD      
Damage Deposit  USA s/t 7"      
Damage Deposit  USA Straight To The Bottom  7"      
Daybreak/Ultimate Warriors  USA split   7"      
Dead & Gone USA s/t     2 x 7"      
Dead & Gone USA The Beautician  LP      
Dead End    HOL Kill The Messenger  7"      
Dead Nation USA Dead End    LP      
Dead Nation USA Painless    7"      
The Dead Ones   SWE Busted Heads    7"      
The Dead Ones   SWE s/t 7"      
Deathreat   USA s/t LP      
Deathreat   USA Consider It War LP      
Decontrol   CAN In Trenches LP      
Defector    JAP Punk System Destroy 7"      
Dehumanizers    USA End Of Time LP      
Demon System 13 SWE For The Kids Not The Business   7"      
Demon System 13/Blood Of Others SWE/AUS split   7"      
Demon System 13 SWE Aborted Teen Generation 7"      
Demon System 13/Code 13 SWE/USA split   7"      
Demon System 13 SWE Thrash & Burn   6"      
Demon System 13 SWE Vad Vet Vi Om Kriget    LP      
Demon System 13 SWE Killed By The Kids  LP      
Deride  JAP s/t 7"      
Despise You USA West Side Horizons  CD      
Despite USA Last Breath 7"      
Destruccion/Nailbiter   SPA/UK  split   LP      
DFA CAN Defy False Authority    LP      
Disarm/Stomachal Corrosion  BRA split   LP      
Disaster    SWE La Casa De La Caca  7"      
Discarga    BRA Happy Night Electric Experience LP      
Discarga    BRA Que Venha Abaixo    7"      
Discharge   UK  Hear Nothing See Nothing Say Nothing    LP      
Discharge   UK  Why?    LP      
Discharge/MG15  UK/SPA  split   7"      
Disclose    JAP Endless War 7"      
Disclose    JAP Sound Of Disaster   7"      
Disclose    JAP Nightmare Or Reality    LP      
Discordance Axis    USA The Inalienable Dreamless   LP      
Diskonto    SWE We Are The People Our Parents Warned Us About   LP      
Disrupt USA Smash Divisions 7"      
Distraught  USA s/t 7"      
Dodsdomd    SWE Samhallats Fiender… LP      
Domestik Doktrin    SING    s/t 7"      
Don Austin  USA s/t 7"      
Down In Flames  USA Start The Fucking Fire  7"      
Down In Flames  USA s/t LP      
DRI USA 22 Songs    7"      
DRI USA Violent Pacification    7"      
DRI USA Dealing With It LP      
DRI USA Crossover   LP      
DRI USA Four Of A Kind  LP      
DRI USA Def-Inition LP      
Drop Dead   USA s/t LP      
Drop Dead/Unholy Grave  USA/JAP split   7"      
DRY JAP Shoot Up Death  7"      
DSB JAP Wings Continue To Strive…   LP      
DSB JAP Battle Into Invisible Zone  7"      
Dudman  JAP s/t     7"      
Dumbstuck   UK  And We All Fall Down    LP      
Dumbstruck  UK  If It Ain't Broke…  7"      
Dumbstruck/Y    UK/GER  split   7"      
DYS USA Wolfpack    LP      
Dystopia    USA Human = Garbage CD      
Dystopia    USA The Aftermath   CD      
E150/Zanussi    SPA split   7"      
Ebola   UK  Imprecation 7"      
Edora/Kent Brockman SING/GER    split   LP      
Edora   SING    Tomorrow Is Ours    7"      
EBS USA Destroy Your Enemy  LP      
Effigy  JAP Grinding Metal Massacre 7"      
Electro Hippies UK  The Only Good Punk…Is A Dead One    LP      
Embalming Theatre   SWI Sweet Chainsaw Melodies LP      
Embalming Theatre/Terrorism SWI/USA split   7"      
E.T.A   SWE We're Not The Problem   LP      
E.T.A   SWE No Faith    MLP     
E.T.A   SWE We Are The Attack   7"      
Excel   USA Split Image LP      
Excel   USA The Jokes On You    LP      
Excel   USA Comp trax from Welcome To Venice LP         
Exclaim JAP Out Of Suit 7"      
Exclaim/Jellyroll Rockheads JAP split   7"      
Exclaim JAP Critical Exploder   LP                  
Excruciating Terror USA Divided We Fall CD      
Excruciating Terror USA Live    7"      
Extreme Noise Terror/Caos UK    UK  Earslaughter split  LP      
Extreme Noise Terror    UK  A Holocaust In Your Head    LP      
Eyehategod/Cripple Bastards USA/ITA split   7"      
The Fairfuck    USA s/t 7"      
Fall Silent USA Life: Beautiful But Heartless   7"      
Fasts   JAP s/t LP      
Fear Is The Path To The Dark Side   GER s/t 7"      
Final Bloodbath JAP Dead Or Alive   7"      
Forca Macabra/Homomilitia   FIN/POL split   7"      
Forca Macabra   FIN     A Raiz De Todo O Mal Edio Do Metal" 7"      
Forward JAP Act Then Decide 7"      
Forward JAP Fucked Up       CD      
From Ashes Rise USA Nightmares  LP      
Fuck On The Beach   JAP Power Violence Forever  LP      
Fuck On The Beach   JAP Endless Summer  LP      
Fuck On The Beach/Flachenbrand  JAP/GER split   7"      
Fuck On The Beach/Matka Teresa  JAP/?   split   7"      
Fuck On The Beach/Yacopsae  JAP/GER Live split  7"      
The Futures JAP s/t LP      
Gadget  SWE Remote  CD      
Gai/Zouo    JAP split (EP/comp trax)    LP      
Gate    JAP Soon to Be Sodomized    7"      
The Gatecrashers    USA Loud At Any Volume  7"      
Gauze   JAP Fuckheads   LP      
Gauze   JAP Equalising Distort  LP      
Gauze   JAP Jap title   CD      
Gauze   JAP s/t 7"      
G.I.S.M JAP Discography CD      
Glaucoma/Mesrine    GER/FRA split   7"      
Godstomper  USA s/t 7"      
Godstomper/He Who Corrupts  USA split   7"      
Gomorrha    GER s/t CD      
Gordon Solie Motherfuckers  USA Chairshot Politics  7"      
Gordon Solie Motherfuckers  USA Power Bomb Anthems Vol 1    10"     
Gride/Mrtva Bodoucnost  CZE split   LP      
Gride   CZE Tanec Blaznu    LP      
Gride   CZE Happy Birthday Gride    7"      
Grimple/Logical Nonsense    USA split   CD      
Guns Liquor & Whores    CAN Serpico 10"     
Hanging Rotten  USA Your Cheatin Heart  LP      
Hated Youth USA Hardcore Rules  7"      
Hawgjaw CAN s/t LP      
Haymaker/Oxbaker    CAN split   7"      
Head Hits Concrete  CAN s/t     7"      
Health Hazard/Suffer    UK  Discography CD      
Hellnation  USA Colonized   LP      
Hellnation  USA Your Chaos Days Are Numbered    CD      
Hellnation  USA Fucked Up Mess  CD      
Hellnation  USA Dynamite Up Your Ass    LP      
Hellshock   USA Only The Dead Know The End Of The War   LP      
Heresy/Concrete Sox UK  Split   LP      
Heresy      UK  1985 - 1987 LP      
Highscore   GER New Fuel    LP      
Himsa   USA Death Is Infinite   7"      
His Hero Is Gone    USA Fifteen Counts Of Arson CD      
Holding On/The Real Enemy   USA split   7"      
Holding On  USA Just Another Day    LP      
Holier Than Thou    USA s/t 7"      
Holier Than Thou    USA We Come In Peace…We Leave In Pieces 7"      
Holier Than Thou    USA The Hating Of The Guts  LP      
Humpy   USA s/t 7"      
I Quit  SWE That's It, I Quit   7"      
I Quit  SWE Old Miserable Bums  7"      
Illdad  SWE Memo Saltat Sobrius 7"      
Infest  USA Slave   LP      
Infest  USA No Mans Slave   LP      
Infest  USA Live KXLU Radio LP      
Inhume  HOL In For The Kill LP      
The Insults USA Thrasher Go Home    7"      
Intense Degree  UK  War In My Head  LP      
Intensity   SWE Virtue Of Progress  7"      
Iron Lung   USA Life.Iron Lung.Death    LP      
Iron Lung/Lana Dagales  USA split   LP      
Jabara  JAP Why We Wish MLP     
Jellyroll Rockheads JAP Intense & Mild  7"      
Jerrys Kids USA Is This My World    LP      
Jesus & The Gospelfuckers/Agent Orange  HOL Split   LP      
John Browns Army/Reagan SS  USA split   7"      
John Holmes     UK  El Louso Suavo  LP      
John Holmes/Canvas  UK  split   7"      
Kaaos   FIN Nukke   7"      
The Kill    AUS Demo    7"      
Knucklehead JAP Gouo    7"      
Kontrovers  SWE Nar Spelreglerna Andras LP      
Krigshot    SWE Maktmissbrukare CD      
Krigshot    SWE Och Hotet Kvastar   7"      
Krigshot    SWE Orebromangel    LP      
Kung Fu Rick    USA Statues To Stones   7"      
Kung Fu Rick    USA Motivation To Abuse LP      
Kung Fu Rick    USA Coming To An End    LP      
Kylesa  USA s/t LP      
Kylesa  USA 100 Degree Heat Index   7"      
Lack Of Interest    USA Trapped Inside  CD      
L'Amico di Martucci ITA s/t 7"      
Larm    HOL Straight On View    LP      
Last In Line    USA L'esecito de Morto  LP      
The Last Survivors  JAP Chaos Is Here   7"      
Laughing Dog/No Less    USA split   7"      
Laughing Dog/Ear Bleeding Disorder  USA split   7"      
Laukaus JAP Mika on Tuolla? 7"      
Lie JAP Legalize It 7"      
Lipcream    JAP Kill The IBM    LP      
Logical Nonsense    USA Expand The Hive CD      
Lords Of Light  USA s/t 7"      
Los Crudos  USA Canciones Para Liberar Ruestras Fronteras   LP      
Los Crudos  USA Los Primeros Gritos LP      
Los Vaticanos/Comrades  ITA split   7"      
Ludichrist  USA Immaculate Deception    LP      
Ludichrist  USA Powertrip   LP      
Mad Rats    POR Speed Kills 7"      
Mass Separation MYA Tak Mau Lagi    7"      
Mass Separation/Dregs Of Humanity   MYA/?   split   7"      
MDC USA Millions Of Dead Cops   LP      
MDC USA Metal Devil Cokes   LP      
Melt Banana JAP Charlie LP      
Melt Banana JAP Cell Scape  LP      
Mind Of Asian   JAP Akai Hana   7"      
Minor Threat    USA First Demo  7"      
Minute Manifesto/Shank  UK  split   7"      
Misfits USA Walk Among Us   LP      
Misfits USA Earth AD    LP      
Misfits USA Legacy Of Brutality LP      
MK Ultra/Seein Red  USA/HOL split   LP      
Mob 47  SWE Garanterat Mangel   CD      
More Noise For Life JAP Punk Is Not Only Fun    7"      
More Noise For Life JAP Thrash Mosh 7"      
Muga    JAP s/t LP      
Mukeka De Rato  BRA Acabar Com Voce CD      
Municipal Waste USA s/t     7"      
Municipal Waste USA Waste 'Em All   LP      
Municipal Waste USA Hazardous Mutation  LP      
Narcosis    UK  Heart Slows Down    LP      
Narcosis/Swarrrm    UK/JAP  split   7"      
Narcosis/Morose UK  split   7"      
Nasum   SWE Human 2.0   CD      
Nasum   SWE Helvete LP      
Negative FX USA Discography LP      
Neuro Visceral Exhumation/Mesrine   BRA/FRA split   7"      
The Neighbors   USA The More Money One Has, The More Important Is Ones Life 7"      
The Neighbors   USA Negative Attraction LP      
Nema    USA Bring Our Curses Home   CD      
Neon Christ USA s/t 7"      
Nice View   JAP s/t     7"      
Nigel Pepper Cock   USA Fresh White Reeboks…Kicking Your Ass    7"      
Nine Shocks Terror  USA Zen And The Art Of Beating Your Ass LP      
Nine Shocks Terror  USA Paying Ohmage   LP      
Nine Shocks Terror  USA Mobile Terror Unit  7"      
Nine Shocks Terror  USA s/t 7"      
Nine Shocks Terror/Killers  USA split   7"      
NK 6    JAP Keep On Keeping On  MLP     
NK6/Dudman  JAP split   7"      
No Comment  USA Discography LP      
The Oath    USA s/t 7"      
Oppressed Logic USA Ain't A Damn Thing Changed  LP      
Opstand FRA Discography LP      
Otophobia   USA Source Of Confusion 7"      
Otophobia   USA Confined    7"      
Out Cold    USA Two Broken Hearts Are Better Than One   LP      
Out Cold    USA Warped Sense Of Right & Wrong   LP      
Out Cold    USA Will Attack If Provoked LP      
Outllaw Order   USA Legalize Crime  7"      
Outo    JAP Discography LP      
Paintbox    JAP Cry Of The Sheeps   7"      
Phobia  USA Means Of Existance  CD      
Phobia  USA Destroying The Masses   CD      
Phobia  USA Serenity Through Pain   LP      
Phobia/Resist And Exist USA split   LP      
Phobia  USA Grind Your Fucking Head In  LP      
Phobia  USA Get Up And Kill LP      
Phobia  USA Cruel   LP      
Phobia/Skrupel  USA/GER split   CD      
Pig Destroyer   USA Terrifyer   2LP     
Pilger  UK  These Times 7"      
Pilger/Biff Tannen  UK  split   7"      
Plutocracy  USA Sniping Pigs    LP      
Point Of Few    HOL Beneath The Surface 7"      
Point Of Few    HOL Silence 7"      
Poison Idea USA Kings Of Punk   LP      
Poison Idea USA Record Collectors Are Pretentious Assholes  LP      
Poison Idea USA Plastic Bomb    2 x 7"      
Prone   GER s/t 10"     
Protes Bengt    SWE Mangslarr Som Agg   LP      
Quattro Stagioni    ITA s/t 7"      
Ratos De Porao  BRA Decanse Em Paz  LP      
Ratos De Porao  BRA Sistemados Pelo Crucifa LP      
Ratos De Porao  BRA Brasil  LP      
Ratos De Porao  BRA Carniceria Tropical CD      
Ratos De Porao  BRA Guerra Civil Cannibale  10"     
Ratos De Porao  BRA Olisciente Coletivo LP      
R.A.M.B.O   USA Wall Of Death The System    LP      
Raw Power   ITA Screams From The Gutter LP      
Raw Power   ITA Still Screaming After 20 Years  LP      
Razors Edge JAP Thrash March    7"      
The Real Enemy  USA Too Little Too Late 7"      
Real Reggae JAP The Maze + THC Best CD      
Reform Control  USA s/t 7"      
Regulations SWE s/t 7"      
Regulations SWE Destroy 7"      
Regugitate  SWE Hatefilled Vengeance    LP      
Regugitate  SWE Deviant CD      
Regurgitate/Noisear SWE/USA split   7"      
Retaliation     SWE Violence Spreads Its Drape  LP      
Retaliation/The Kill    SWE/AUS split   7"      
Riiseterror FIN/BRA Taabajara Hardcore  7"      
Ripcord UK  Damage Is Done  7"      
Ripcord UK  Defiance Of Power   LP      
Rise Above  JAP I Love To Relax MCD     
Rise Above/Machetazo    JAP/SPA split   7"      
The Rites   USA Wish You Never Knew MLP     
Rot BRA A Long Cold Stare   LP      
Ruido   USA s/t 7"      
Runnamucks  USA On The Brink    LP      
